ts,pair_id,side,edge_raw,queueAhead,A_filled,A_ttf,A_reason,B_filled,B_ttf,B_reason,diff_filled,latency_ms
2026-01-22T16:37:36.317Z,130,BUY_PM,-0.0202,190,false,2900,EDGE_LOW,false,1000,EDGE_LOW,0,4586
2026-01-22T16:37:36.319Z,138,BUY_PM,-0.0404,294,false,3940,EDGE_LOW,false,1000,EDGE_LOW,0,4586
2026-01-22T16:37:36.319Z,134,BUY_PM,-0.0505,242,false,3420,EDGE_LOW,false,1000,EDGE_LOW,0,4586
2026-01-22T16:37:36.319Z,137,BUY_PM,-0.0707,281,false,3810,EDGE_LOW,false,1000,EDGE_LOW,0,4586
2026-01-22T16:37:36.319Z,139,BUY_PM,-0.0909,7,true,1070,FILLED,false,1000,EDGE_LOW,1,4586
2026-01-22T16:37:43.194Z,133,BUY_PM,-0.1313,236,false,3360,EDGE_LOW,false,1000,EDGE_LOW,0,4864
2026-01-22T16:37:43.194Z,148,BUY_PM,-0.1414,131,false,2310,EDGE_LOW,false,1000,EDGE_LOW,0,4864
2026-01-22T16:37:43.194Z,127,BUY_PM,-0.2323,158,false,2580,EDGE_LOW,false,1000,EDGE_LOW,0,4864
2026-01-22T16:37:43.194Z,144,BUY_PM,-0.2424,79,false,1790,EDGE_LOW,false,1000,EDGE_LOW,0,4864
2026-01-22T16:37:43.194Z,124,BUY_PM,-0.3131,119,false,2190,EDGE_LOW,false,1000,EDGE_LOW,0,4864
2026-01-22T16:37:50.065Z,131,BUY_PM,-0.3535,217,false,3170,EDGE_LOW,false,1000,EDGE_LOW,0,4856
2026-01-22T16:37:50.065Z,126,BUY_PM,-0.3636,152,false,2520,EDGE_LOW,false,1000,EDGE_LOW,0,4856
2026-01-22T16:37:50.065Z,122,BUY_PM,-0.3737,100,false,2000,EDGE_LOW,false,1000,EDGE_LOW,0,4856
2026-01-22T16:37:50.065Z,143,BUY_PM,-0.3737,73,false,1730,EDGE_LOW,false,1000,EDGE_LOW,0,4856
2026-01-22T16:37:50.065Z,145,BUY_PM,-0.4545,99,false,1990,EDGE_LOW,false,1000,EDGE_LOW,0,4856
2026-01-22T16:37:56.855Z,140,BUY_PM,-0.4848,41,false,1410,EDGE_LOW,false,1000,EDGE_LOW,0,4778
2026-01-22T16:37:56.855Z,129,BUY_PM,-0.4949,198,false,2980,EDGE_LOW,false,1000,EDGE_LOW,0,4778
2026-01-22T16:37:56.855Z,147,BUY_PM,-0.4949,132,false,2320,EDGE_LOW,false,1000,EDGE_LOW,0,4778
2026-01-22T16:37:56.855Z,123,BUY_PM,-0.5051,120,false,2200,EDGE_LOW,false,1000,EDGE_LOW,0,4778
2026-01-22T16:37:56.855Z,128,BUY_PM,-0.5455,185,false,2850,EDGE_LOW,false,1000,EDGE_LOW,0,4778
2026-01-22T16:38:03.701Z,136,BUY_PM,-0.596,296,false,3960,EDGE_LOW,false,1000,EDGE_LOW,0,4845
2026-01-22T16:38:03.701Z,125,BUY_PM,-0.6667,153,false,2530,EDGE_LOW,false,1000,EDGE_LOW,0,4845
2026-01-22T16:38:03.701Z,146,BUY_PM,-0.7374,126,false,2260,EDGE_LOW,false,1000,EDGE_LOW,0,4845
2026-01-22T16:38:03.701Z,142,BUY_PM,-0.7475,74,false,1740,EDGE_LOW,false,1000,EDGE_LOW,0,4845
2026-01-22T16:38:03.701Z,135,BUY_PM,-0.7677,283,false,3830,EDGE_LOW,false,1000,EDGE_LOW,0,4845
2026-01-22T16:38:11.385Z,149,BUY_PM,-0.7677,172,false,2720,EDGE_LOW,false,1000,EDGE_LOW,0,5670
2026-01-22T16:38:11.385Z,132,BUY_PM,-0.8081,251,false,3510,EDGE_LOW,false,1000,EDGE_LOW,0,5670
2026-01-22T16:38:11.385Z,141,BUY_PM,-0.8081,68,false,1680,EDGE_LOW,false,1000,EDGE_LOW,0,5670
